column,value,count,percent
AREA NAME,Central,69670,6.932400389655231
AREA NAME,77th Street,61758,6.145129657877534
AREA NAME,Pacific,59514,5.921844076215608
AREA NAME,Southwest,57441,5.715573572300647
AREA NAME,Hollywood,52429,5.216862638570893
AREA NAME,N Hollywood,51107,5.085319172012485
AREA NAME,Olympic,50071,4.982233671744324
AREA NAME,Southeast,49936,4.9688007156283
AREA NAME,Newton,49177,4.893277651242648
AREA NAME,Wilshire,48239,4.799943482080934
AREA NAME,Rampart,46825,4.659245704687902
AREA NAME,West LA,45729,4.550190001701507
AREA NAME,Northeast,42963,4.274963656390953
AREA NAME,Van Nuys,42883,4.267003386099975
AREA NAME,West Valley,42156,4.1946644298307145
AREA NAME,Devonshire,41756,4.1548630783758265
AREA NAME,Harbor,41394,4.118842855309152
AREA NAME,Topanga,41374,4.116852787736407
AREA NAME,Mission,40351,4.01506083139053
AREA NAME,Hollenbeck,37085,3.690082796761364
AREA NAME,Foothill,33133,3.2968454443870643
